Lag,q,Moment,Observations,Table,Population,LagType,TrainEnd,MaxLag
13,3.0,0.8291755494157345,5427430,equity_parkinson_variance,global,observation,2016-01-01,400
13,4.0,1.8310553130204543,5427430,equity_parkinson_variance,global,observation,2016-01-01,400
14,1.0,0.5489057985115808,5425905,equity_parkinson_variance,global,observation,2016-01-01,400
14,1.5,0.5159140962559999,5425905,equity_parkinson_variance,global,observation,2016-01-01,400
14,2.0,0.5457096187824029,5425905,equity_parkinson_variance,global,observation,2016-01-01,400
14,3.0,0.8362269959446286,5425905,equity_parkinson_variance,global,observation,2016-01-01,400
14,4.0,1.8485273896680594,5425905,equity_parkinson_variance,global,observation,2016-01-01,400
15,1.0,0.5506796251782267,5424380,equity_parkinson_variance,global,observation,2016-01-01,400
15,1.5,0.5182207802729926,5424380,equity_parkinson_variance,global,observation,2016-01-01,400
15,2.0,0.5486854092277622,5424380,equity_parkinson_variance,global,observation,2016-01-01,400
15,3.0,0.8418955296989094,5424380,equity_parkinson_variance,global,observation,2016-01-01,400
15,4.0,1.8642211379050222,5424380,equity_parkinson_variance,global,observation,2016-01-01,400
16,1.0,0.5524958482111201,5422855,equity_parkinson_variance,global,observation,2016-01-01,400
16,1.5,0.5204927530613668,5422855,equity_parkinson_variance,global,observation,2016-01-01,400
16,2.0,0.5514484319909254,5422855,equity_parkinson_variance,global,observation,2016-01-01,400
16,3.0,0.8459834274656891,5422855,equity_parkinson_variance,global,observation,2016-01-01,400
16,4.0,1.8689480158243879,5422855,equity_parkinson_variance,global,observation,2016-01-01,400
17,1.0,0.5542588172048782,5421330,equity_parkinson_variance,global,observation,2016-01-01,400
17,1.5,0.5228118558799615,5421330,equity_parkinson_variance,global,observation,2016-01-01,400
17,2.0,0.5544578262494794,5421330,equity_parkinson_variance,global,observation,2016-01-01,400
17,3.0,0.8517579702646868,5421330,equity_parkinson_variance,global,observation,2016-01-01,400
17,4.0,1.8840241010865342,5421330,equity_parkinson_variance,global,observation,2016-01-01,400
18,1.0,0.555325535264868,5419805,equity_parkinson_variance,global,observation,2016-01-01,400
18,1.5,0.5242489777199707,5419805,equity_parkinson_variance,global,observation,2016-01-01,400
18,2.0,0.5562990984442853,5419805,equity_parkinson_variance,global,observation,2016-01-01,400
18,3.0,0.8543974162473521,5419805,equity_parkinson_variance,global,observation,2016-01-01,400
18,4.0,1.8845390429346713,5419805,equity_parkinson_variance,global,observation,2016-01-01,400
19,1.0,0.5554312201222739,5418280,equity_parkinson_variance,global,observation,2016-01-01,400
19,1.5,0.5245895336880438,5418280,equity_parkinson_variance,global,observation,2016-01-01,400
19,2.0,0.5570405003656671,5418280,equity_parkinson_variance,global,observation,2016-01-01,400
19,3.0,0.857441895797364,5418280,equity_parkinson_variance,global,observation,2016-01-01,400
19,4.0,1.8996130025046172,5418280,equity_parkinson_variance,global,observation,2016-01-01,400
20,1.0,0.5562993527220896,5416755,equity_parkinson_variance,global,observation,2016-01-01,400
20,1.5,0.5257126876753877,5416755,equity_parkinson_variance,global,observation,2016-01-01,400
20,2.0,0.5585124247506951,5416755,equity_parkinson_variance,global,observation,2016-01-01,400
20,3.0,0.8602355124452405,5416755,equity_parkinson_variance,global,observation,2016-01-01,400
20,4.0,1.9053417200607679,5416755,equity_parkinson_variance,global,observation,2016-01-01,400
21,1.0,0.5578928823754449,5415230,equity_parkinson_variance,global,observation,2016-01-01,400
21,1.5,0.5277841288326789,5415230,equity_parkinson_variance,global,observation,2016-01-01,400
21,2.0,0.5611957146433941,5415230,equity_parkinson_variance,global,observation,2016-01-01,400
21,3.0,0.8654323513576543,5415230,equity_parkinson_variance,global,observation,2016-01-01,400
21,4.0,1.9182297114764035,5415230,equity_parkinson_variance,global,observation,2016-01-01,400
22,1.0,0.5589615295347571,5413705,equity_parkinson_variance,global,observation,2016-01-01,400
22,1.5,0.5292264540361568,5413705,equity_parkinson_variance,global,observation,2016-01-01,400
22,2.0,0.5630628934886872,5413705,equity_parkinson_variance,global,observation,2016-01-01,400
22,3.0,0.8684339020881502,5413705,equity_parkinson_variance,global,observation,2016-01-01,400
22,4.0,1.9229511270056672,5413705,equity_parkinson_variance,global,observation,2016-01-01,400
23,1.0,0.5598545386124173,5412180,equity_parkinson_variance,global,observation,2016-01-01,400
