Table,Population,Observations,H,R2,LagType,TrainEnd,MaxLag
equity_parkinson_variance,global,2056597000,0.03638938783830348,0.941069875447173,observation,2016-01-01,400
equity_garman_klass_variance,global,2056597000,0.03246302891466224,0.9155695224306343,observation,2016-01-01,400
