q,Zeta,Intercept,MomentR2,Table,Population
2.0,0.11561268617659352,-1.5354864798796295,0.9643299422044266,equity_parkinson_variance,CSCO
3.0,0.15259236558936684,-1.6453431120917315,0.9124425848172967,equity_parkinson_variance,CSCO
4.0,0.1337116330394628,-1.1759876186356357,0.5449223463023266,equity_parkinson_variance,CSCO
1.0,0.05939053236586784,-1.0179129727458818,0.9566604131757626,equity_parkinson_variance,KLAC
1.5,0.08782351367876046,-1.3276441934585193,0.9593074239125101,equity_parkinson_variance,KLAC
2.0,0.11510905208983653,-1.5520720543304225,0.9596481356070125,equity_parkinson_variance,KLAC
3.0,0.1653405171155709,-1.800784425261341,0.9538880226555748,equity_parkinson_variance,KLAC
4.0,0.20851403727040055,-1.832408386693551,0.9352072079879024,equity_parkinson_variance,KLAC
1.0,0.057602925130818904,-0.9501201462587637,0.9491428969826395,equity_parkinson_variance,AMD
1.5,0.08512641385537151,-1.2293184247248514,0.9529577957934152,equity_parkinson_variance,AMD
2.0,0.11193017844690367,-1.4278151911335164,0.9535034730575007,equity_parkinson_variance,AMD
3.0,0.16379851030921463,-1.6448634450809547,0.9472026078182518,equity_parkinson_variance,AMD
4.0,0.21429734958902052,-1.6807936171188325,0.9299104635987221,equity_parkinson_variance,AMD
1.0,0.05122100575803258,-0.8187307766773504,0.989527595377576,equity_garman_klass_variance,global
1.5,0.07260517161473153,-0.9742590697590894,0.9901634671053102,equity_garman_klass_variance,global
2.0,0.08998746103197147,-0.9965779654415602,0.9904786597181762,equity_garman_klass_variance,global
3.0,0.11045938947169345,-0.6709312631937994,0.9901064243302814,equity_garman_klass_variance,global
4.0,0.11411952026607242,0.09404206521786831,0.9887141602639854,equity_garman_klass_variance,global
1.0,0.06263588468578273,-1.065294091004437,0.9522421285011383,equity_garman_klass_variance,NVDA
1.5,0.09164720399150425,-1.3941535316622893,0.9543659296511263,equity_garman_klass_variance,NVDA
2.0,0.11887058387329102,-1.634913934740856,0.9526145907797677,equity_garman_klass_variance,NVDA
3.0,0.1673341336891792,-1.9094959103052098,0.9392168127286777,equity_garman_klass_variance,NVDA
4.0,0.20743251516640418,-1.96248475522872,0.9109670634026731,equity_garman_klass_variance,NVDA
1.0,0.05954539228207793,-0.98010710503123,0.9409927387810214,equity_garman_klass_variance,AAPL
1.5,0.08806954906912547,-1.266773861707824,0.939073275573205,equity_garman_klass_variance,AAPL
2.0,0.11556910021470121,-1.465739813318811,0.9338997707623549,equity_garman_klass_variance,AAPL
3.0,0.16693774551487647,-1.6571595944566782,0.9168298076985903,equity_garman_klass_variance,AAPL
4.0,0.2126973918018941,-1.6225787424810736,0.8872209062066978,equity_garman_klass_variance,AAPL
1.0,0.07508733410120928,-1.080814170608613,0.9566529740053298,equity_garman_klass_variance,AMZN
1.5,0.1123987779869646,-1.4208598409040833,0.9587948266671867,equity_garman_klass_variance,AMZN
2.0,0.14904286054525298,-1.6746795571299782,0.9586474828200101,equity_garman_klass_variance,AMZN
3.0,0.21893831409078382,-1.9800667901869322,0.9523695400571002,equity_garman_klass_variance,AMZN
4.0,0.2823377471447797,-2.066402866537693,0.9362340630151373,equity_garman_klass_variance,AMZN
1.0,0.0878731348676261,-1.0881618161047821,0.9487898339901064,equity_garman_klass_variance,BAC
1.5,0.1354323533223093,-1.4472275622131385,0.9515447284368321,equity_garman_klass_variance,BAC
2.0,0.18465700978730168,-1.728831336915692,0.9527495251158875,equity_garman_klass_variance,BAC
3.0,0.28549357984159707,-2.1091012434132423,0.9524235911660152,equity_garman_klass_variance,BAC
4.0,0.38525210045701963,-2.2842617305603525,0.9489011465373608,equity_garman_klass_variance,BAC
1.0,0.06335976079665406,-1.0952655159810003,0.9625448512403132,equity_garman_klass_variance,INTC
1.5,0.0935474498061867,-1.4402687639324108,0.9646568926562265,equity_garman_klass_variance,INTC
2.0,0.12264555369373029,-1.6981704778565727,0.963416535336006,equity_garman_klass_variance,INTC
3.0,0.17711286714068317,-2.0089251151001184,0.9508727418473186,equity_garman_klass_variance,INTC
4.0,0.2257132681707447,-2.0953238751485137,0.9189615820781537,equity_garman_klass_variance,INTC
1.0,0.06822974690136743,-1.083956578709619,0.9494552767637514,equity_garman_klass_variance,MSFT
1.5,0.10159664932579504,-1.4236356627154756,0.94922562315123,equity_garman_klass_variance,MSFT
2.0,0.13439665256775368,-1.6774173912911832,0.9438702957219463,equity_garman_klass_variance,MSFT
3.0,0.1974969925251886,-1.9850208674419214,0.920117711382227,equity_garman_klass_variance,MSFT
4.0,0.2555047068265887,-2.0762694887205217,0.8770771644450289,equity_garman_klass_variance,MSFT
1.0,0.06968946042047894,-1.0170855834422714,0.966166624110905,equity_garman_klass_variance,F
1.5,0.10583566699531476,-1.3299437690440687,0.9696906452729496,equity_garman_klass_variance,F
2.0,0.14286892880540178,-1.560428350723677,0.9712949543365422,equity_garman_klass_variance,F
3.0,0.21952371829222797,-1.8297248987603747,0.9694842908532025,equity_garman_klass_variance,F
4.0,0.29884929531590265,-1.8869969355394478,0.9571906264526082,equity_garman_klass_variance,F
1.0,0.06242755636554386,-1.0777200853824307,0.9684905095658872,equity_garman_klass_variance,CSCO
1.5,0.09268836123666918,-1.4107578150748814,0.9701312536319826,equity_garman_klass_variance,CSCO
2.0,0.12068685891847687,-1.6437082839644557,0.9660339443863881,equity_garman_klass_variance,CSCO
3.0,0.15793795140267614,-1.786996411251074,0.910470134530645,equity_garman_klass_variance,CSCO
4.0,0.13780678241668687,-1.332488965725341,0.5421298846374698,equity_garman_klass_variance,CSCO
1.0,0.06475542108674327,-1.1078849501350803,0.9636467870483015,equity_garman_klass_variance,KLAC
1.5,0.09550375750771806,-1.4572674663897724,0.9661098272871029,equity_garman_klass_variance,KLAC
2.0,0.1248123746478237,-1.7175928903088042,0.9662141155760717,equity_garman_klass_variance,KLAC
3.0,0.1781188656723868,-2.026802826571286,0.960148407272407,equity_garman_klass_variance,KLAC
4.0,0.22319505524797292,-2.1057447720534355,0.9418565889949698,equity_garman_klass_variance,KLAC
1.0,0.06021288840709946,-1.0153952383983869,0.9540183313791917,equity_garman_klass_variance,AMD
1.5,0.08880671418801019,-1.322612299654424,0.9567021874488707,equity_garman_klass_variance,AMD
2.0,0.11659836180033331,-1.5462024357282744,0.9564786489180757,equity_garman_klass_variance,AMD
3.0,0.17054788444428484,-1.8059100063872038,0.949122970341997,equity_garman_klass_variance,AMD
4.0,0.22391059690209972,-1.8761924700666124,0.9292249505848422,equity_garman_klass_variance,AMD
1.0,0.054322246774189974,-0.6859606100937226,0.9439965898236476,crypto_parkinson_variance,global
1.5,0.08263925861835272,-0.8217885981728099,0.9521536185440403,crypto_parkinson_variance,global
2.0,0.11315352354489051,-0.8702267500366491,0.9609838729210212,crypto_parkinson_variance,global
3.0,0.18428935248337994,-0.7615999154400106,0.9772297382536177,crypto_parkinson_variance,global
4.0,0.2667181888034685,-0.3932486540062031,0.9862122804472672,crypto_parkinson_variance,global
1.0,0.07612787333866282,-0.6489216921398813,0.9116458284658961,crypto_parkinson_variance,BTT
1.5,0.10752484267691305,-0.7287685204312863,0.9228735068393852,crypto_parkinson_variance,BTT
2.0,0.13245516241453276,-0.6781081140949908,0.9277755581175313,crypto_parkinson_variance,BTT
3.0,0.1548201147810044,-0.18311984514332522,0.8859610243093369,crypto_parkinson_variance,BTT
4.0,0.13798444056077608,0.816575373505359,0.6302751042554724,crypto_parkinson_variance,BTT
1.0,0.057569415210629575,-0.628536238892002,0.8515648912789242,crypto_parkinson_variance,WIN
1.5,0.08263455353418893,-0.730088873623072,0.8520136428257459,crypto_parkinson_variance,WIN
2.0,0.10535886121305096,-0.7397772944940713,0.8457392564831736,crypto_parkinson_variance,WIN
3.0,0.14426689518481275,-0.5485718461109922,0.818626413785628,crypto_parkinson_variance,WIN
4.0,0.1754766118303676,-0.1431063968690187,0.7737518692224813,crypto_parkinson_variance,WIN
1.0,0.4811737811402533,-1.8049779553428766,0.9546634291367267,crypto_parkinson_variance,LUNA
1.5,0.6165528247346578,-1.9060367779180774,0.9771251638889396,crypto_parkinson_variance,LUNA
2.0,0.701190541473274,-1.6833000559611377,0.9876665599395823,crypto_parkinson_variance,LUNA
3.0,0.7808138691063461,-0.6927106802742101,0.9937705651686207,crypto_parkinson_variance,LUNA
4.0,0.8046252982929963,0.6346502059881788,0.9943881557269274,crypto_parkinson_variance,LUNA
1.0,0.04495869686339663,-0.5891752745138807,0.6684156760880589,crypto_parkinson_variance,DOGE
1.5,0.06700950334254334,-0.682569159965217,0.6818903705636333,crypto_parkinson_variance,DOGE
2.0,0.08818642218366723,-0.6891268826074326,0.6850156854682524,crypto_parkinson_variance,DOGE
3.0,0.12680706223939553,-0.4998073041719631,0.6684281054467947,crypto_parkinson_variance,DOGE
