Lag,q,Moment,Observations,Table,Population
18,2.0,0.4669986618408161,5071656,equity_parkinson_variance,global
18,3.0,0.6294194144577316,5071656,equity_parkinson_variance,global
18,4.0,1.2136441036725347,5071656,equity_parkinson_variance,global
19,1.0,0.5170984370472825,5271311,equity_parkinson_variance,global
19,1.5,0.46620817168955264,5271311,equity_parkinson_variance,global
19,2.0,0.4685066294415834,5271311,equity_parkinson_variance,global
19,3.0,0.6311653620820104,5271311,equity_parkinson_variance,global
19,4.0,1.212064055905851,5271311,equity_parkinson_variance,global
20,1.0,0.5184102076276997,7069303,equity_parkinson_variance,global
20,1.5,0.4680338180268636,7069303,equity_parkinson_variance,global
20,2.0,0.470861998856005,7069303,equity_parkinson_variance,global
20,3.0,0.6345730716188215,7069303,equity_parkinson_variance,global
20,4.0,1.2141661495207816,7069303,equity_parkinson_variance,global
21,1.0,0.5191294127383149,8706061,equity_parkinson_variance,global
21,1.5,0.46883890420116997,8706061,equity_parkinson_variance,global
21,2.0,0.4718570028776563,8706061,equity_parkinson_variance,global
21,3.0,0.6371149091948503,8706061,equity_parkinson_variance,global
21,4.0,1.224775474999556,8706061,equity_parkinson_variance,global
22,1.0,0.5217907105130194,7057824,equity_parkinson_variance,global
22,1.5,0.47218884142365386,7057824,equity_parkinson_variance,global
22,2.0,0.47599252202781395,7057824,equity_parkinson_variance,global
22,3.0,0.6439061435839769,7057824,equity_parkinson_variance,global
22,4.0,1.2387701863716059,7057824,equity_parkinson_variance,global
23,1.0,0.5237924122646138,5260899,equity_parkinson_variance,global
23,1.5,0.47486598528444024,5260899,equity_parkinson_variance,global
23,2.0,0.47951968877573065,5260899,equity_parkinson_variance,global
23,3.0,0.6503964000192328,5260899,equity_parkinson_variance,global
23,4.0,1.2504198536777777,5260899,equity_parkinson_variance,global
24,1.0,0.5213897886948851,5073870,equity_parkinson_variance,global
24,1.5,0.47215287270311984,5073870,equity_parkinson_variance,global
24,2.0,0.4766474791467013,5073870,equity_parkinson_variance,global
24,3.0,0.6476774172346719,5073870,equity_parkinson_variance,global
24,4.0,1.2492248873854146,5073870,equity_parkinson_variance,global
25,1.0,0.5227544105604927,5066405,equity_parkinson_variance,global
25,1.5,0.47357116334959065,5066405,equity_parkinson_variance,global
25,2.0,0.478035449116424,5066405,equity_parkinson_variance,global
