Table,Population,Observations,H,R2
equity_parkinson_variance,global,2437184184,0.0374538909196422,0.9712091391381288
equity_parkinson_variance,NVDA,1693686,0.05266771366422849,0.9977112385262189
equity_parkinson_variance,AAPL,1694238,0.05399709520270094,0.999556112969164
equity_parkinson_variance,AMZN,1694238,0.0687551032913644,0.999665181032076
equity_parkinson_variance,BAC,1690645,0.09405810232175886,0.9991387078084927
equity_parkinson_variance,INTC,1687625,0.0584554141804893,0.9993526636585459
equity_parkinson_variance,MSFT,1692036,0.06397380694498832,0.9997291160877136
equity_parkinson_variance,F,1686013,0.07026060230565204,0.9992129236518381
equity_parkinson_variance,CSCO,1692585,0.04390187384091601,0.9436326153181815
equity_parkinson_variance,KLAC,1689836,0.054307646743937864,0.998003238374137
equity_parkinson_variance,AMD,1693689,0.054503498669501056,0.9995470601784204
equity_garman_klass_variance,global,2437184184,0.0349755018518897,0.9571437569494908
equity_garman_klass_variance,NVDA,1693686,0.05487070760163642,0.9960657608995251
equity_garman_klass_variance,AAPL,1694238,0.05501986728891084,0.9985704147216022
equity_garman_klass_variance,AMZN,1694238,0.07218409776817464,0.9994414388102829
equity_garman_klass_variance,BAC,1690645,0.09481627366755234,0.9994621246905623
equity_garman_klass_variance,INTC,1687625,0.05839267339529993,0.9985470809396829
equity_garman_klass_variance,MSFT,1692036,0.06523807227620118,0.9994818285967151
equity_garman_klass_variance,F,1686013,0.07343098153998603,0.9995666662544077
equity_garman_klass_variance,CSCO,1692585,0.04551549767231867,0.9411497820283505
equity_garman_klass_variance,KLAC,1689836,0.0584425620047448,0.997430308807843
equity_garman_klass_variance,AMD,1693689,0.05686529377460573,0.9995748974798145
crypto_parkinson_variance,global,106075351,0.06276989130094618,0.9951590238669916
crypto_parkinson_variance,BTT,597406,0.04709220368276636,0.9179782159168832
crypto_parkinson_variance,WIN,598832,0.047347165916710815,0.9924280243627893
crypto_parkinson_variance,LUNA,598832,0.25951401245518796,0.9201549479569501
crypto_parkinson_variance,DOGE,598832,0.04151652259921284,0.9979603240442517
crypto_parkinson_variance,TRX,598832,0.061835261427269514,0.9972526422592266
crypto_parkinson_variance,HOT,598371,0.04657933485228987,0.9905898089248765
crypto_parkinson_variance,DENT,598204,0.04230328694604775,0.9842874278146467
crypto_parkinson_variance,TROY,581248,0.036879511972338276,0.9763035843413942
crypto_parkinson_variance,RSR,597921,0.04810507839139783,0.9899852869873729
crypto_parkinson_variance,VTHO,589280,0.03779445880460862,0.9869919537530961
crypto_garman_klass_variance,global,106075351,0.06243128674109238,0.9968724983370639
crypto_garman_klass_variance,BTT,597406,0.05384283689033684,0.9480594662358738
crypto_garman_klass_variance,WIN,598832,0.047515455083167187,0.9895094914839572
crypto_garman_klass_variance,LUNA,598832,0.2574050073822656,0.9311451780328469
crypto_garman_klass_variance,DOGE,598832,0.04230459451312302,0.9978797000881973
crypto_garman_klass_variance,TRX,598832,0.06367922829191933,0.9950849116319396
crypto_garman_klass_variance,HOT,598371,0.046160959850648525,0.9856311565059842
crypto_garman_klass_variance,DENT,598204,0.041929739810247155,0.9773390073815711
crypto_garman_klass_variance,TROY,581248,0.033137117246973116,0.9512262175008296
crypto_garman_klass_variance,RSR,597921,0.049198102419110046,0.9864144344700093
crypto_garman_klass_variance,VTHO,589280,0.035111975796065675,0.9829010994902789
crypto_realized_variance,global,106075351,0.09344781594477458,0.9925580783661214
crypto_realized_variance,BTT,597406,0.08610678064488417,0.965773554034155
crypto_realized_variance,WIN,598832,0.05449908519084996,0.9625621272466686
crypto_realized_variance,LUNA,598832,0.16352946360942525,0.9119129998065847
crypto_realized_variance,DOGE,598832,0.04818911865795076,0.9925535869774246
crypto_realized_variance,TRX,598832,0.08167939410634914,0.9865298041845424
crypto_realized_variance,HOT,598371,0.05541470303092895,0.973587602900228
crypto_realized_variance,DENT,598204,0.04839011058023325,0.9418657035980095
crypto_realized_variance,TROY,581248,0.044665327804158814,0.9455966710034993
crypto_realized_variance,RSR,597921,0.05785473905851633,0.9460120092701826
crypto_realized_variance,VTHO,589280,0.01718064522127395,0.5163718977700557
